date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:21:39	15078/15078	---M--	200	added ('OK')	text/html	etag:%227e81497-3ae6-5212f4f4a3021%22	http://www.nrly.co/	C:/My%20Web%20Sites/portfolio/www.nrly.co/index.html	(from )
21:22:00	93088/93088	---M--	200	added ('OK')	image/jpeg	etag:%227e806bd-16ba0-514f546354456%22	http://www.nrly.co/images/facebookog.jpg	C:/My%20Web%20Sites/portfolio/www.nrly.co/images/facebookog.jpg	(from http://www.nrly.co/)
21:22:00	0/0	---M--	200	added ('OK')	image/x-icon	etag:%222823382-0-4f6649c6a21ab%22	http://www.nrly.co/favicon.ico	C:/My%20Web%20Sites/portfolio/www.nrly.co/favicon.1.delayed	(from http://www.nrly.co/)
21:22:01	11915/11915	---M--	200	added ('OK')	text/css	etag:%227c896b7-2e8b-51501b1d0725d%22	http://www.nrly.co/css/default.css	C:/My%20Web%20Sites/portfolio/www.nrly.co/css/default.css	(from http://www.nrly.co/)
21:22:02	57095/57095	---M--	200	added ('OK')	text/css	etag:%227c896a0-df07-514cecc27c121%22	http://www.nrly.co/css/animate.css	C:/My%20Web%20Sites/portfolio/www.nrly.co/css/animate.css	(from http://www.nrly.co/)
21:22:02	3572/3572	---M--	200	added ('OK')	text/css	etag:%227c896b2-df4-5212f4bf78b60%22	http://www.nrly.co/css/component.css	C:/My%20Web%20Sites/portfolio/www.nrly.co/css/component.css	(from http://www.nrly.co/)
21:22:06	18418/18418	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2025%20Jan%202017%2015:52:02%20GMT	http://use.typekit.net/pzx0zeb.js	C:/My%20Web%20Sites/portfolio/use.typekit.net/pzx0zeb.js	(from http://www.nrly.co/)
21:22:09	10781/10781	---M--	200	added ('OK')	image/jpeg	etag:%227c896f3-2a1d-51502eea94e75%22	http://www.nrly.co/images/nathanriley.jpg	C:/My%20Web%20Sites/portfolio/www.nrly.co/images/nathanriley.jpg	(from http://www.nrly.co/)
21:22:34	39131/39131	---M--	200	added ('OK')	application/javascript	etag:%2254cf119-98db-51502f28ee6c9%22	http://www.nrly.co/js/main.min.js	C:/My%20Web%20Sites/portfolio/www.nrly.co/js/main.min.js	(from http://www.nrly.co/)
21:22:37	27805/27805	---MC-	200	added ('OK')	text/javascript	date:Wed,%2028%20Sep%202016%2020:19:01%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/portfolio/www.google-analytics.com/analytics.js	(from http://www.nrly.co/)
